Sample_id	sbs_burden	dbs_burden	id_burden	sbs_log	dbs_log	id_log
zcc70	Low	Low	Mid	3.64601141	1.462397998	2.903632516
zcc71	Low	Low	Mid	3.105510185	0.698970004	2.492760389
zcc72	Low	Low	Mid	3.23146959	1.113943352	2.475671188
zcc73	Low	Low	Mid	3.079904468	0.602059991	2.481442629
zcc74	Low	High	High	4.223340159	2.298853076	3.684486292
zcc75	Low	Low	Mid	3.431202885	1.255272505	2.666517981
zcc76	Low	Low	Mid	3.354876423	1.255272505	2.889301703
zcc77	Low	High	Mid	4.009960531	1.913813852	2.80140371
zcc78	Low	Low	Mid	3.260309946	1.176091259	2.790285164
zcc79	High	High	High	4.895422546	3.045714059	4.78114478
zcc80	Low	Low	Mid	4.161038412	1.301029996	3.168202747
zcc81	Low	Low	Mid	3.345177617	0.954242509	2.633468456
zcc82	Low	Low	Mid	3.767675224	1.491361694	3.026124517
zcc83	Low	Low	Mid	3.913283902	1.491361694	2.785329835
zcc84	Low	Low	Mid	3.437750563	1.255272505	2.776701184
zcc85	Low	High	Mid	4.061678615	2.017033339	3.264109156
zcc86	Low	Low	Mid	2.865103975	0.954242509	2.357934847
zcc87	Low	Low	Mid	3.286680969	0.903089987	2.600972896
zcc88	Low	Low	Mid	3.676327734	1.322219295	3.097604329
zcc89	Low	Low	Mid	3.479719235	1.113943352	2.752048448
zcc90	Low	Low	Mid	3.714748761	1.414973348	2.959994838
zcc91	Low	Low	Mid	2.800717078	0.698970004	2.492760389
zcc92	Low	Low	Mid	3.49248101	1.204119983	2.754348336
zcc93	Low	High	Mid	3.666705136	1.740362689	2.942008053
zcc94	Low	Low	Mid	3.622317661	1.278753601	2.630427875
zcc95	Low	Low	Mid	3.531861949	1.255272505	2.716003344
zcc96	Low	Low	Mid	3.083144143	0.602059991	2.382017043
zcc97	Low	High	Mid	3.876275589	2.103803721	2.95616843
zcc98	Low	Low	Mid	3.032618761	0.77815125	2.434568904
zcc279	Low	High	Mid	4.1472743	2.531478917	3.031004281
zcc99	Low	Low	Mid	3.578295305	1.462397998	2.786751422
zcc100	Low	Low	Mid	3.561459171	1.204119983	2.615950052
zcc101	Low	Low	Mid	3.382017043	1.113943352	2.484299839
zcc102	Low	Low	Mid	3.517987203	1.342422681	2.696356389
zcc103	Low	Low	Mid	3.423245874	1.113943352	2.587710965
zcc104	Low	Low	Mid	3.140508043	0.903089987	2.564666064
zcc105	High	High	High	4.614031982	2.683947131	4.077948999
zcc106	Low	Low	Mid	3.096910013	0.903089987	2.484299839
zcc107	Low	Low	Mid	3.101059355	1.230448921	2.385606274
zcc108	Low	Low	Mid	3.128399269	0.77815125	2.390935107
zcc109	Low	Low	Mid	3.080265627	1.113943352	2.394451681
zcc110	Low	Low	Mid	3.417471693	0.954242509	2.755112266
zcc111	Low	Low	Mid	3.490099005	1	2.737987326
zcc112	Low	Low	Mid	3.41480628	1	2.612783857
