	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3/H1	ID83H2	ID83H3	ID83H4	ID83I4/H5
	MMRD/MSI	MMRD/MSI	Tobacco	Unknown	Unknown	Radiation	Unknown	Unknown	Top2A	Novel	Novel	Novel	Novel	Novel	Novel	Novel	Novel
KiCS0240_18_8811	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0
KiCS0241_19_7197	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0
KiCS0245_18_12071	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0
KiCS0246_18_11279	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	53
KiCS0249_19_18443	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0
KiCS0249_20_423_A_02_00	0	0	0	0	140	225	0	0	0	0	0	116	0	0	0	0	83
KiCS0249_20_7122_A_02_00	88	0	0	0	316	361	0	0	0	0	232	110	0	0	0	0	131
KiCS0252_18_9296	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0
KiCS0259_18_12197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0261_19_18923_A_02_00	694	4055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0263_18_15764_A_03_01	0	0	170	0	196	200	0	0	0	0	0	118	0	0	0	0	105
KiCS0266_19_13897_A_02_00	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0
KiCS0269_18_13380	0	0	0	0	0	105	0	0	0	0	0	0	460	0	0	0	168
KiCS0270_19_13895_A_02_00	0	0	0	0	411	457	0	0	0	0	274	0	0	0	0	0	0
KiCS0271_19_13900_A_02_00	78	66	0	0	0	0	87	118	0	0	0	163	0	0	0	0	107
KiCS0272_20_18312_A_02_00	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	58
KiCS0274_19_4026_A_02_00	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57
KiCS0276_19_5404_A_02_00	161	140	283	0	0	0	277	0	0	0	0	0	297	0	0	0	80
KiCS0277_19_13896_A_02_00	0	0	0	0	0	0	0	0	0	0	81	110	0	0	0	0	62
KiCS0277_19_4280_A_02_00	0	0	0	0	0	163	0	592	0	0	313	0	0	0	0	0	137
KiCS0282_19_8768_A_02_00	0	0	0	0	0	57	118	0	0	0	0	106	0	0	0	0	60
KiCS0282_20_18314_A_02_00	59	96	0	0	0	137	84	0	0	0	0	321	0	0	0	0	99
KiCS0283_19_15299_A_02_00	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0
KiCS0285_19_15633_A_02_00	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0
KiCS0288_20_11147_A_02_00	160	119	0	0	0	0	0	0	0	0	0	70	0	0	0	0	88
KiCS0289_19_15639_A_02_00	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0
KiCS0292_19_15636_A_02_00	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0
