	Signature	Precision	Recall	F1-score	Support	Positive Class (in Red)
234	Sig -	0.8372093023255814	0.972972972972973	0.9	37.0	TopRQ
235	Sig +	0.967741935483871	0.8108108108108109	0.8823529411764706	37.0	TopRQ
236	Sig -	0.9047619047619048	0.8636363636363636	0.8837209302325582	22.0	Sig+
237	Sig +	0.8695652173913043	0.9090909090909091	0.888888888888889	22.0	Sig+
238	Sig -	0.8333333333333334	1.0	0.9090909090909091	15.0	Sig-
239	Sig +	1.0	0.8	0.888888888888889	15.0	Sig-
240	Sig -	0.7833333333333333	0.8245614035087719	0.8034188034188033	57.0	"Platinum
Treated"
241	Sig +	0.8148148148148148	0.7719298245614035	0.7927927927927928	57.0	"Platinum
Treated"
242	Sig -	0.8461538461538461	0.8918918918918919	0.868421052631579	37.0	TopRQ
243	Sig +	0.8857142857142857	0.8378378378378378	0.8611111111111112	37.0	TopRQ
244	Sig -	1.0	0.9545454545454546	0.9767441860465117	22.0	Sig+
245	Sig +	0.9565217391304348	1.0	0.9777777777777777	22.0	Sig+
246	Sig -	0.6875	0.7333333333333333	0.7096774193548386	15.0	Sig-
247	Sig +	0.7142857142857143	0.6666666666666666	0.689655172413793	15.0	Sig-
248	Sig -	0.7758620689655172	0.7894736842105263	0.7826086956521741	57.0	"Platinum
Treated"
249	Sig +	0.7857142857142857	0.7719298245614035	0.7787610619469025	57.0	"Platinum
Treated"
250	Sig -	0.8571428571428571	0.972972972972973	0.9113924050632912	37.0	TopRQ
251	Sig +	0.96875	0.8378378378378378	0.8985507246376812	37.0	TopRQ
252	Sig -	0.9545454545454546	0.9545454545454546	0.9545454545454546	22.0	Sig+
253	Sig +	0.9545454545454546	0.9545454545454546	0.9545454545454546	22.0	Sig+
254	Sig -	0.7368421052631579	0.9333333333333333	0.8235294117647058	15.0	Sig-
255	Sig +	0.9090909090909091	0.6666666666666666	0.7692307692307692	15.0	Sig-
256	Sig -	0.765625	0.8596491228070176	0.8099173553719009	57.0	"Platinum
Treated"
257	Sig +	0.84	0.7368421052631579	0.7850467289719626	57.0	"Platinum
Treated"
258	Sig -	0.8780487804878049	0.972972972972973	0.923076923076923	37.0	TopRQ
259	Sig +	0.9696969696969697	0.8648648648648649	0.9142857142857143	37.0	TopRQ
260	Sig -	1.0	1.0	1.0	22.0	Sig+
261	Sig +	1.0	1.0	1.0	22.0	Sig+
262	Sig -	0.7777777777777778	0.9333333333333333	0.8484848484848485	15.0	Sig-
263	Sig +	0.9166666666666666	0.7333333333333333	0.8148148148148148	15.0	Sig-
264	Sig -	0.796875	0.8947368421052632	0.8429752066115702	57.0	"Platinum
Treated"
265	Sig +	0.88	0.7719298245614035	0.822429906542056	57.0	"Platinum
Treated"
266	Sig -	0.8372093023255814	0.972972972972973	0.9	37.0	TopRQ
267	Sig +	0.967741935483871	0.8108108108108109	0.8823529411764706	37.0	TopRQ
268	Sig -	0.9090909090909091	0.9090909090909091	0.9090909090909091	22.0	Sig+
269	Sig +	0.9090909090909091	0.9090909090909091	0.9090909090909091	22.0	Sig+
270	Sig -	0.7333333333333333	0.7333333333333333	0.7333333333333333	15.0	Sig-
271	Sig +	0.7333333333333333	0.7333333333333333	0.7333333333333333	15.0	Sig-
272	Sig -	0.796875	0.8947368421052632	0.8429752066115702	57.0	"Platinum
Treated"
273	Sig +	0.88	0.7719298245614035	0.822429906542056	57.0	"Platinum
Treated"
274	Sig -	0.8292682926829268	0.918918918918919	0.8717948717948718	37.0	TopRQ
275	Sig +	0.9090909090909091	0.8108108108108109	0.8571428571428571	37.0	TopRQ
276	Sig -	1.0	1.0	1.0	22.0	Sig+
277	Sig +	1.0	1.0	1.0	22.0	Sig+
278	Sig -	0.8235294117647058	0.9333333333333333	0.8749999999999999	15.0	Sig-
279	Sig +	0.9230769230769231	0.8	0.8571428571428571	15.0	Sig-
280	Sig -	0.796875	0.8947368421052632	0.8429752066115702	57.0	"Platinum
Treated"
281	Sig +	0.88	0.7719298245614035	0.822429906542056	57.0	"Platinum
Treated"
282	Sig -	0.8571428571428571	0.972972972972973	0.9113924050632912	37.0	TopRQ
283	Sig +	0.96875	0.8378378378378378	0.8985507246376812	37.0	TopRQ
284	Sig -	0.9545454545454546	0.9545454545454546	0.9545454545454546	22.0	Sig+
285	Sig +	0.9545454545454546	0.9545454545454546	0.9545454545454546	22.0	Sig+
286	Sig -	0.7777777777777778	0.9333333333333333	0.8484848484848485	15.0	Sig-
287	Sig +	0.9166666666666666	0.7333333333333333	0.8148148148148148	15.0	Sig-
288	Sig -	0.7846153846153846	0.8947368421052632	0.8360655737704918	57.0	"Platinum
Treated"
289	Sig +	0.8775510204081632	0.7543859649122807	0.8113207547169812	57.0	"Platinum
Treated"
290	Sig -	0.8809523809523809	1.0	0.9367088607594937	37.0	TopRQ
291	Sig +	1.0	0.8648648648648649	0.927536231884058	37.0	TopRQ
292	Sig -	0.9166666666666666	1.0	0.9565217391304348	22.0	Sig+
293	Sig +	1.0	0.9090909090909091	0.9523809523809523	22.0	Sig+
294	Sig -	0.7857142857142857	0.7333333333333333	0.7586206896551724	15.0	Sig-
295	Sig +	0.75	0.8	0.7741935483870969	15.0	Sig-
296	Sig -	0.7971014492753623	0.9649122807017544	0.8730158730158731	57.0	"Platinum
Treated"
297	Sig +	0.9555555555555556	0.7543859649122807	0.8431372549019609	57.0	"Platinum
Treated"
298	Sig -	0.8409090909090909	1.0	0.9135802469135803	37.0	TopRQ
299	Sig +	1.0	0.8108108108108109	0.8955223880597014	37.0	TopRQ
300	Sig -	1.0	0.9545454545454546	0.9767441860465117	22.0	Sig+
301	Sig +	0.9565217391304348	1.0	0.9777777777777777	22.0	Sig+
302	Sig -	0.7777777777777778	0.9333333333333333	0.8484848484848485	15.0	Sig-
303	Sig +	0.9166666666666666	0.7333333333333333	0.8148148148148148	15.0	Sig-
304	Sig -	0.7936507936507936	0.8771929824561403	0.8333333333333334	57.0	"Platinum
Treated"
305	Sig +	0.8627450980392157	0.7719298245614035	0.8148148148148149	57.0	"Platinum
Treated"
306	Sig -	0.825	0.8918918918918919	0.8571428571428571	37.0	TopRQ
307	Sig +	0.8823529411764706	0.8108108108108109	0.8450704225352113	37.0	TopRQ
308	Sig -	1.0	0.9545454545454546	0.9767441860465117	22.0	Sig+
309	Sig +	0.9565217391304348	1.0	0.9777777777777777	22.0	Sig+
310	Sig -	0.7647058823529411	0.8666666666666667	0.8125	15.0	Sig-
311	Sig +	0.8461538461538461	0.7333333333333333	0.7857142857142856	15.0	Sig-
312	Sig -	0.7761194029850746	0.9122807017543859	0.8387096774193548	57.0	"Platinum
Treated"
313	Sig +	0.8936170212765957	0.7368421052631579	0.8076923076923077	57.0	"Platinum
Treated"
314	Sig -	0.8604651162790697	1.0	0.9249999999999999	37.0	TopRQ
315	Sig +	1.0	0.8378378378378378	0.911764705882353	37.0	TopRQ
316	Sig -	0.9047619047619048	0.8636363636363636	0.8837209302325582	22.0	Sig+
317	Sig +	0.8695652173913043	0.9090909090909091	0.888888888888889	22.0	Sig+
318	Sig -	0.7058823529411765	0.8	0.7500000000000001	15.0	Sig-
319	Sig +	0.7692307692307693	0.6666666666666666	0.7142857142857142	15.0	Sig-
320	Sig -	0.796875	0.8947368421052632	0.8429752066115702	57.0	"Platinum
Treated"
321	Sig +	0.88	0.7719298245614035	0.822429906542056	57.0	"Platinum
Treated"
322	Sig -	0.8461538461538461	0.8918918918918919	0.868421052631579	37.0	TopRQ
323	Sig +	0.8857142857142857	0.8378378378378378	0.8611111111111112	37.0	TopRQ
324	Sig -	1.0	0.9545454545454546	0.9767441860465117	22.0	Sig+
325	Sig +	0.9565217391304348	1.0	0.9777777777777777	22.0	Sig+
326	Sig -	0.7894736842105263	1.0	0.8823529411764706	15.0	Sig-
327	Sig +	1.0	0.7333333333333333	0.846153846153846	15.0	Sig-
328	Sig -	0.7966101694915254	0.8245614035087719	0.8103448275862069	57.0	"Platinum
Treated"
329	Sig +	0.8181818181818182	0.7894736842105263	0.8035714285714286	57.0	"Platinum
Treated"
330	Sig -	0.8717948717948718	0.918918918918919	0.8947368421052632	37.0	TopRQ
331	Sig +	0.9142857142857143	0.8648648648648649	0.888888888888889	37.0	TopRQ
332	Sig -	1.0	1.0	1.0	22.0	Sig+
333	Sig +	1.0	1.0	1.0	22.0	Sig+
334	Sig -	0.7142857142857143	0.6666666666666666	0.689655172413793	15.0	Sig-
335	Sig +	0.6875	0.7333333333333333	0.7096774193548386	15.0	Sig-
336	Sig -	0.7704918032786885	0.8245614035087719	0.7966101694915254	57.0	"Platinum
Treated"
337	Sig +	0.8113207547169812	0.7543859649122807	0.7818181818181817	57.0	"Platinum
Treated"
338	Sig -	0.8536585365853658	0.9459459459459459	0.8974358974358975	37.0	TopRQ
339	Sig +	0.9393939393939394	0.8378378378378378	0.8857142857142858	37.0	TopRQ
340	Sig -	0.9130434782608695	0.9545454545454546	0.9333333333333332	22.0	Sig+
341	Sig +	0.9523809523809523	0.9090909090909091	0.9302325581395349	22.0	Sig+
342	Sig -	0.7647058823529411	0.8666666666666667	0.8125	15.0	Sig-
343	Sig +	0.8461538461538461	0.7333333333333333	0.7857142857142856	15.0	Sig-
344	Sig -	0.7777777777777778	0.8596491228070176	0.8166666666666668	57.0	"Platinum
Treated"
345	Sig +	0.8431372549019608	0.7543859649122807	0.7962962962962964	57.0	"Platinum
Treated"
346	Sig -	0.8536585365853658	0.9459459459459459	0.8974358974358975	37.0	TopRQ
347	Sig +	0.9393939393939394	0.8378378378378378	0.8857142857142858	37.0	TopRQ
348	Sig -	0.9166666666666666	1.0	0.9565217391304348	22.0	Sig+
349	Sig +	1.0	0.9090909090909091	0.9523809523809523	22.0	Sig+
350	Sig -	0.7368421052631579	0.9333333333333333	0.8235294117647058	15.0	Sig-
351	Sig +	0.9090909090909091	0.6666666666666666	0.7692307692307692	15.0	Sig-
352	Sig -	0.7878787878787878	0.9122807017543859	0.8455284552845528	57.0	"Platinum
Treated"
353	Sig +	0.8958333333333334	0.7543859649122807	0.819047619047619	57.0	"Platinum
Treated"
354	Sig -	0.8571428571428571	0.972972972972973	0.9113924050632912	37.0	TopRQ
355	Sig +	0.96875	0.8378378378378378	0.8985507246376812	37.0	TopRQ
356	Sig -	1.0	0.9545454545454546	0.9767441860465117	22.0	Sig+
357	Sig +	0.9565217391304348	1.0	0.9777777777777777	22.0	Sig+
358	Sig -	0.75	0.8	0.7741935483870969	15.0	Sig-
359	Sig +	0.7857142857142857	0.7333333333333333	0.7586206896551724	15.0	Sig-
360	Sig -	0.7971014492753623	0.9649122807017544	0.8730158730158731	57.0	"Platinum
Treated"
361	Sig +	0.9555555555555556	0.7543859649122807	0.8431372549019609	57.0	"Platinum
Treated"
362	Sig -	0.8372093023255814	0.972972972972973	0.9	37.0	TopRQ
363	Sig +	0.967741935483871	0.8108108108108109	0.8823529411764706	37.0	TopRQ
364	Sig -	1.0	1.0	1.0	22.0	Sig+
365	Sig +	1.0	1.0	1.0	22.0	Sig+
366	Sig -	0.7272727272727273	0.5333333333333333	0.6153846153846153	15.0	Sig-
367	Sig +	0.631578947368421	0.8	0.7058823529411765	15.0	Sig-
368	Sig -	0.7758620689655172	0.7894736842105263	0.7826086956521741	57.0	"Platinum
Treated"
369	Sig +	0.7857142857142857	0.7719298245614035	0.7787610619469025	57.0	"Platinum
Treated"
370	Sig -	0.8529411764705882	0.7837837837837838	0.8169014084507041	37.0	TopRQ
371	Sig +	0.8	0.8648648648648649	0.8311688311688312	37.0	TopRQ
372	Sig -	1.0	0.9545454545454546	0.9767441860465117	22.0	Sig+
373	Sig +	0.9565217391304348	1.0	0.9777777777777777	22.0	Sig+
374	Sig -	0.8235294117647058	0.9333333333333333	0.8749999999999999	15.0	Sig-
375	Sig +	0.9230769230769231	0.8	0.8571428571428571	15.0	Sig-
