Samples	SBS1	SBS2	SBS5	SBS7b	SBS13	SBS46
LKCGP-P003002-273246-01-02-01-P1	0	0	13	0	0	0
LKCGP-P003004-275025-01-02-03-R3	3	0	17	0	0	0
LKCGP-P003006-272327-01-02-05-R1	0	0	21	0	0	0
LKCGP-P003101-262198-01-01-21-R2	1	6	30	0	4	0
LKCGP-P003104-275018-01-03-19-R1	0	0	51	0	0	0
LKCGP-P003106-274807-01-01-01-P2	0	0	9	0	0	0
LKCGP-P003201-263868-01-06-01-D1	2	0	15	0	0	0
LKCGP-P003204-276307-01-01-01-D1	0	9	92	0	5	0
LKCGP-P003206-273438-01-02-05-D1	2	0	17	0	0	0
LKCGP-P003302-274819-01-01-01-D1	0	0	30	0	0	0
LKCGP-P003306-273987-01-02-01-D1	2	0	52	0	0	0
LKCGP-P003401-265908-01-06-01-D1	4	0	13	0	0	0
LKCGP-P003402-274814-01-01-01-D1	0	0	20	0	0	0
LKCGP-P003404-276310-01-01-01-R1	0	0	12	0	0	0
LKCGP-P003501-266284-01-04-01-D1	10	0	75	0	0	0
LKCGP-P003502-275267-01-01-01-R1	0	0	27	0	0	0
LKCGP-P003504-276910-01-01-21-R1	1	0	14	0	6	0
LKCGP-P003506-274441-01-02-05-R1	1	0	14	0	0	0
LKCGP-P003604-277454-01-04-20-D1	0	0	30	0	0	0
LKCGP-P003606-275528-01-06-19-D1	0	0	18	0	0	0
LKCGP-P003702-277038-01-04-01-D1	0	111	39	66	164	0
LKCGP-P003704-277451-01-01-01-D1	0	0	13	0	0	0
LKCGP-P003707-302481-01-03-01-R1	0	0	19	0	0	0
LKCGP-P003801-267911-02-06-01-R1	0	0	28	0	0	0
LKCGP-P003804-277725-01-04-01-R1	0	3	9	0	17	0
LKCGP-P003901-268344-01-06-01-R1	0	0	35	0	0	0
LKCGP-P003902-277744-01-01-01-D1	1	0	31	0	0	0
LKCGP-P003904-279449-01-01-01-D1	1	0	4	0	0	0
LKCGP-P004001-268467-01-01-01-R2	0	0	10	0	0	0
LKCGP-P004001-268560-01-01-01-R1	0	0	10	0	0	0
LKCGP-P004101-269599-01-04-01-R1	3	0	104	0	0	0
LKCGP-P004102-279100-01-04-01-D1	0	0	4	0	0	0
LKCGP-P004201-269359-01-01-01-R1	1	0	15	0	0	0
LKCGP-P004202-279837-01-04-01-R1	0	19	22	0	28	0
LKCGP-P004301-270831-01-01-01-D1	0	0	39	0	15	0
LKCGP-P004401-270614-01-01-01-D1	0	12	18	0	31	0
LKCGP-P004402-279901-01-01-01-D1	0	0	8	0	0	0
LKCGP-P004404-282217-01-05-01-R1	0	53	23	0	49	0
LKCGP-P004701-273654-01-02-19-R1	0	0	45	0	0	0
LKCGP-P004801-275546-01-01-21-D1	0	0	13	0	0	0
LKCGP-P004804-288456-01-03-01-R1	0	0	4	0	0	0
LKCGP-P004901-275394-01-02-01-R2	0	0	0	0	0	9
LKCGP-P005001-275776-01-03-01-R1	0	0	10	0	0	12
LKCGP-P005106-292258-01-01-01-R1	0	0	8	0	0	0
LKCGP-P005201-276908-01-02-04-D1	1	0	11	0	0	0
LKCGP-P005401-277060-01-01-21-D1	0	6	5	8	11	0
